model;price;transmission;mileage;fuelType;tax;mpg;engineSize;Make
 X2;31990;Semi-Auto;5;Petrol;145;39,8;2;BMW
 Yaris;14495;Manual;25;Petrol;150;47,9;1,5;toyota
 Polo;20000;Semi-Auto;10;Petrol;145;46,3;1;vw
 Focus;20500;Automatic;1868;Petrol;150;40,9;1,5;Ford
 Kamiq;17495;Manual;1000;Petrol;145;47,9;1;skoda
 Z4;32495;Semi-Auto;2200;Petrol;145;38,7;2;BMW
 Q2;24825;Manual;6000;Petrol;145;43,5;1,5;audi
 Up;9950;Manual;1000;Petrol;145;54,3;1;vw
 Polo;15219;Manual;6000;Petrol;145;52,3;1;vw
 Aygo;10980;Semi-Auto;4855;Petrol;145;56,5;1;toyota
 Fiesta;17500;Manual;25;Petrol;145;58,9;1;Ford
 Q5;37000;Automatic;3121;Petrol;145;32,1;2;audi
 S-MAX;33000;Semi-Auto;1500;Diesel;150;43,5;2;Ford
 Polo;16990;Manual;10;Petrol;145;52,3;1;vw
 X3;35995;Semi-Auto;102;Diesel;145;54,3;2;BMW
 3 Series;31990;Semi-Auto;11;Petrol;145;40,4;2;BMW
 Z4;33490;Semi-Auto;10;Petrol;145;38,7;2;BMW
 Q5;35995;Semi-Auto;1117;Diesel;145;38,2;2;audi
 T-Roc;23590;Manual;2920;Diesel;145;50,4;2;vw
 1 Series;23590;Manual;1104;Diesel;145;53,3;2;BMW
 Corolla;24980;Automatic;5000;Hybrid;135;57,7;1,8;toyota
 5 Series;34550;Automatic;110;Diesel;145;44,8;2;BMW
 Q5;38695;Semi-Auto;6000;Petrol;145;32,1;2;audi
 T-Roc;38950;Semi-Auto;3544;Petrol;150;32,5;2;vw
 X2;34999;Automatic;1217;Diesel;145;58,9;2;BMW
 Q3;33444;Semi-Auto;425;Petrol;145;31,4;2;audi
 Fabia;12995;Manual;650;Petrol;145;52,3;1;skoda
 Q2;23481;Manual;1276;Petrol;145;44,8;1,5;audi
 A5;29490;Semi-Auto;1703;Diesel;145;51,4;2;audi
 Up;12010;Manual;99;Petrol;145;51,4;1;vw
 2 Series;21875;Semi-Auto;7;Petrol;150;50,4;1,5;BMW
 Scala;17495;Semi-Auto;250;Petrol;145;47,1;1;skoda
 2 Series;26000;Semi-Auto;1501;Petrol;145;42,2;1,5;BMW
 Q3;32995;Semi-Auto;3000;Diesel;145;47,1;2;audi
 Golf;21498;Semi-Auto;50;Diesel;150;53,3;2;vw
 A5;27495;Semi-Auto;4951;Diesel;145;51,4;2;audi
 Golf;23450;Manual;1000;Petrol;145;49,6;1,5;vw
 A8;49800;Automatic;3452;Diesel;145;39,2;3;audi
 Tiguan;29498;Semi-Auto;15;Diesel;150;45,6;2;vw
 A4;47000;Automatic;6760;Diesel;145;39,2;3;audi
 T-Roc;20999;Manual;1843;Petrol;145;44,1;1;vw
 Corolla;19790;Manual;3000;Petrol;145;39,2;1,2;toyota
 7 Series;53000;Semi-Auto;6555;Diesel;145;42,2;3;BMW
 T-Cross;22491;Manual;2255;Petrol;145;47,9;1;vw
 Prius;31995;Automatic;100;Hybrid;135;217,3;1,8;toyota
 Tiguan;27995;Semi-Auto;936;Petrol;145;30,4;2;vw
 Q5;39990;Semi-Auto;6000;Petrol;145;32,1;2;audi
 Polo;13990;Manual;1007;Petrol;145;48,7;1;vw
 Golf;26499;Semi-Auto;2000;Diesel;150;60,1;2;vw
 RS6;109495;Semi-Auto;1500;Petrol;150;22,1;4;audi
 3 Series;39950;Semi-Auto;1204;Petrol;150;33,6;3;BMW
 3 Series;23490;Manual;15;Diesel;145;58,9;2;BMW
 Octavia;19900;Semi-Auto;5000;Diesel;150;53,3;2;skoda
 A5;29491;Semi-Auto;34;Diesel;145;50,4;2;audi
 Polo;16990;Semi-Auto;450;Petrol;145;45,6;1;vw
 Golf;20500;Manual;1800;Petrol;145;47,1;1,5;vw
 4 Series;26990;Semi-Auto;5;Diesel;145;65,7;2;BMW
 Octavia;19499;Semi-Auto;1091;Petrol;145;46,3;1,5;skoda
 T-Cross;20000;Manual;2000;Diesel;150;53,3;1,6;vw
 Q8;63888;Automatic;1500;Diesel;145;32,8;3;audi
 Polo;16995;Automatic;4000;Petrol;145;45,6;1;vw
 X2;28993;Semi-Auto;101;Diesel;145;61,4;2;BMW
 2 Series;34950;Semi-Auto;1107;Diesel;145;62,8;2;BMW
 Tiguan;26990;Semi-Auto;413;Diesel;150;46,3;2;vw
 Superb;31795;Semi-Auto;2000;Hybrid;135;188,3;1,4;skoda
 Polo;14583;Manual;1770;Petrol;145;48,7;1;vw
 A3;34990;Semi-Auto;6000;Petrol;145;34,5;2;audi
 Q7;72995;Semi-Auto;3000;Diesel;145;30,1;4;audi
 Q3;27690;Manual;3962;Diesel;145;42,8;2;audi
 A5;30995;Semi-Auto;3820;Diesel;145;45,6;2;audi
 5 Series;26990;Semi-Auto;13;Petrol;145;50,4;2;BMW
 Passat;29990;Semi-Auto;4000;Diesel;145;48,7;2;vw
 T-Roc;25785;Semi-Auto;10;Petrol;145;39,8;1,5;vw
 GT86;26995;Semi-Auto;1500;Petrol;145;32,8;2;toyota
 Ioniq;22000;Automatic;1500;Hybrid;135;62,8;1,6;Hyundai
 Passat;20998;Semi-Auto;15;Diesel;145;49,6;1,6;vw
 5 Series;33980;Semi-Auto;1500;Hybrid;135;156,9;2;BMW
 X2;40195;Semi-Auto;103;Petrol;145;34;2;BMW
 Z4;32490;Semi-Auto;10;Petrol;145;37,2;2;BMW
 4 Series;29995;Semi-Auto;100;Diesel;145;55,4;3;BMW
 Mondeo;22000;Manual;47;Diesel;145;65,7;2;Ford
 Q2;23950;Manual;4750;Petrol;145;44,8;1,5;audi
 A4;42500;Semi-Auto;826;Diesel;145;40,4;3;audi
 Mustang;42489;Automatic;3500;Petrol;145;22,1;5;Ford
 Golf;24490;Semi-Auto;2368;Hybrid;150;44,8;1,5;vw
 T-Roc;21495;Manual;500;Petrol;145;42,2;1,5;vw
 Z4;34995;Semi-Auto;1000;Petrol;145;38,7;2;BMW
 Kona;19290;Manual;984;Petrol;145;44,1;1;Hyundai
 5 Series;34995;Semi-Auto;10;Hybrid;145;49,6;2;BMW
 Fiesta;17990;Semi-Auto;2425;Petrol;145;40,9;1;Ford
 Q5;50000;Automatic;1246;Hybrid;140;117,7;2;audi
 A3;21970;Manual;5015;Diesel;150;53,3;1,6;audi
 Golf;27990;Automatic;390;Petrol;150;44,1;1,5;vw
 A6;37999;Automatic;2234;Petrol;145;34;2;audi
 Q5;60000;Semi-Auto;3000;Diesel;145;32,5;3;audi
 Santa Fe;35980;Semi-Auto;2196;Diesel;145;39,2;2,2;Hyundai
 3 Series;26480;Semi-Auto;13;Petrol;150;42,2;2;BMW
 Octavia;27450;Semi-Auto;3000;Petrol;145;38,2;2;skoda
 Golf;20995;Manual;899;Petrol;145;47,1;1,5;vw
 5 Series;34750;Automatic;101;Diesel;145;60,1;3;BMW
 I20;13966;Manual;3500;Petrol;145;47,9;1;Hyundai
 Puma;30000;Manual;150;Petrol;150;50,4;1;Ford
 Q3;30000;Automatic;1500;Petrol;145;40,9;0;audi
 I20;13749;Manual;6000;Petrol;150;46,3;1,2;Hyundai
 Q3;34210;Semi-Auto;1766;Petrol;145;31,7;2;audi
 GT86;29769;Manual;999;Petrol;145;33,2;2;toyota
 A5;31760;Semi-Auto;3092;Diesel;145;50,4;2;audi
 RS6;97500;Semi-Auto;3220;Petrol;150;22,1;4;audi
 Superb;26999;Semi-Auto;2000;Diesel;145;44,1;2;skoda
 Polo;18490;Semi-Auto;6000;Petrol;145;39,8;2;vw
 1 Series;29998;Semi-Auto;934;Diesel;150;48,7;2;BMW
 Golf;21980;Manual;1000;Petrol;150;49,6;1,5;vw
 Q3;26500;Manual;1553;Petrol;145;40,9;1,5;audi
 A3;20481;Manual;3662;Diesel;145;52,3;1,6;audi
 Up;14965;Manual;2500;Petrol;150;53,3;1;vw
 Polo;15490;Manual;1348;Petrol;145;47,9;1;vw
 A3;24880;Automatic;2749;Petrol;145;44,1;1,5;audi
 Kamiq;23295;Semi-Auto;500;Petrol;145;43,5;1,5;skoda
 Up;10450;Manual;1000;Petrol;145;54,3;1;vw
 Focus;24999;Manual;4900;Petrol;145;34,5;2,3;Ford
 Polo;14990;Manual;2000;Petrol;145;48,7;1;vw
 Polo;14895;Manual;1674;Petrol;145;47,9;1;vw
 Touareg;44990;Semi-Auto;6000;Diesel;145;34;3;vw
 Mondeo;22000;Manual;10;Diesel;145;65,7;2;Ford
 Superb;23495;Semi-Auto;111;Diesel;150;53,3;2;skoda
 Q5;53990;Semi-Auto;4433;Diesel;145;34,5;3;audi
 1 Series;25988;Automatic;5000;Petrol;145;40,4;1,5;BMW
 3 Series;37995;Semi-Auto;102;Petrol;145;40,4;2;BMW
 Q3;31950;Semi-Auto;5000;Diesel;150;48,7;2;audi
 Q3;31990;Automatic;1500;Petrol;145;40,4;0;audi
 Q7;69995;Semi-Auto;3111;Diesel;145;30,1;4;audi
 2 Series;32995;Semi-Auto;1501;Petrol;145;36,2;2;BMW
 T-Roc;26790;Semi-Auto;3500;Diesel;145;49,6;2;vw
 Polo;14990;Manual;3437;Petrol;145;47,9;1;vw
 X7;79566;Semi-Auto;1000;Petrol;145;24,8;3;BMW
 4 Series;26950;Semi-Auto;10;Diesel;145;65,7;2;BMW
 Golf;21499;Semi-Auto;2501;Petrol;145;45,6;1,5;vw
 Golf SV;22480;Manual;910;Petrol;145;43,5;1,5;vw
 Up;9950;Manual;1880;Petrol;145;54,3;1;vw
 4 Series;35100;Semi-Auto;16;Diesel;145;51,4;3;BMW
 Q5;37888;Semi-Auto;4343;Petrol;145;32,1;2;audi
 T-Cross;23990;Manual;1652;Diesel;150;52,3;1,6;vw
 Passat;30990;Semi-Auto;4765;Diesel;145;48,7;2;vw
 3 Series;53988;Automatic;5000;Petrol;145;34,9;3;BMW
 Up;10490;Manual;5000;Petrol;145;54,3;1;vw
 Mondeo;20499;Manual;12;Diesel;145;49,6;2;Ford
 Puma;20990;Manual;2459;Petrol;150;50,4;1;Ford
 Puma;23499;Manual;1850;Petrol;145;49,6;1;Ford
 T-Cross;24989;Automatic;2800;Petrol;145;45,6;1;vw
 X7;77990;Semi-Auto;5656;Diesel;150;31,4;3;BMW
 Yaris;14995;Manual;1985;Petrol;145;47,9;1,5;toyota
 X2;34360;Semi-Auto;835;Petrol;145;38,7;2;BMW
 Q3;37000;Semi-Auto;3000;Diesel;145;47,1;2;audi
 Karoq;29995;Manual;2000;Diesel;145;42,8;2;skoda
 3 Series;32995;Semi-Auto;10;Diesel;145;50,4;2;BMW
 Touareg;48390;Semi-Auto;5100;Diesel;145;33,6;3;vw
 Tiguan;28900;Semi-Auto;1013;Diesel;145;46,3;2;vw
 X2;26980;Semi-Auto;2501;Petrol;150;38,7;2;BMW
 Up;10999;Manual;500;Petrol;145;54,3;1;vw
 Kamiq;22000;Semi-Auto;2500;Petrol;145;43,5;1,5;skoda
 A5;28991;Semi-Auto;5432;Diesel;145;51,4;2;audi
 Touareg;49999;Semi-Auto;501;Diesel;145;33,6;3;vw
 I10;13495;Manual;1600;Petrol;145;53,3;1;Hyundai
 TT;31000;Automatic;2500;Petrol;150;40,9;2;audi
 Kamiq;20499;Semi-Auto;4000;Petrol;145;44,1;1,5;skoda
 3 Series;34995;Semi-Auto;100;Petrol;145;42,2;2;BMW
 T-Roc;40995;Semi-Auto;4000;Petrol;150;32,5;2;vw
 Caravelle;50995;Semi-Auto;5000;Diesel;145;34;2;vw
 T-Cross;20499;Manual;2000;Diesel;145;53,3;1,6;vw
 2 Series;31150;Manual;101;Petrol;145;40,4;1,5;BMW
 Sharan;30950;Semi-Auto;1000;Diesel;150;40,9;2;vw
 X2;32980;Semi-Auto;1500;Diesel;145;61,4;2;BMW
 T-Cross;22491;Manual;420;Petrol;145;47,9;1;vw
 4 Series;29500;Semi-Auto;17;Diesel;145;60,1;2;BMW
 X2;24850;Semi-Auto;101;Diesel;145;52,3;2;BMW
 Touareg;49990;Semi-Auto;6000;Diesel;145;33,6;3;vw
 Fiesta;14500;Manual;1400;Petrol;145;58,9;1;Ford
 Q5;37985;Semi-Auto;10;Petrol;145;32,1;2;audi
 Z4;30990;Semi-Auto;105;Petrol;145;38,7;2;BMW
 Q5;39000;Semi-Auto;1000;Diesel;150;38,2;2;audi
 3 Series;38991;Semi-Auto;132;Diesel;145;52,3;2;BMW
 Passat;28895;Semi-Auto;6;Petrol;145;40,9;1,5;vw
 Passat;32990;Automatic;300;Petrol;145;33,2;2;vw
 A3;30990;Semi-Auto;6000;Petrol;145;41,5;1,5;audi
 2 Series;26883;Semi-Auto;101;Petrol;145;40,9;1,5;BMW
 Sharan;30000;Semi-Auto;2000;Diesel;145;40,9;2;vw
 1 Series;21940;Manual;514;Petrol;145;44,1;1,5;BMW
 3 Series;28990;Semi-Auto;4;Diesel;145;62,8;2;BMW
 T-Cross;21642;Automatic;2000;Petrol;145;45,6;1;vw
 Q7;68000;Automatic;4162;Diesel;145;32,1;3;audi
 Golf;24990;Automatic;100;Petrol;145;44,8;1,5;vw
 Passat;20998;Semi-Auto;15;Diesel;145;49,6;1,6;vw
 2 Series;22980;Semi-Auto;1550;Petrol;145;38,7;1,5;BMW
 A5;31780;Semi-Auto;5137;Diesel;145;46,3;2;audi
 Up;10990;Manual;25;Petrol;150;54,3;1;vw
 Polo;14990;Manual;1950;Petrol;145;48,7;1;vw
 Kamiq;17495;Manual;1000;Petrol;145;47,9;1;skoda
 2 Series;22990;Semi-Auto;13;Petrol;145;47,9;2;BMW
 5 Series;32850;Semi-Auto;9;Hybrid;145;47,9;2;BMW
 Golf;22995;Semi-Auto;407;Petrol;145;45,6;1,5;vw
 A5;31000;Semi-Auto;1000;Diesel;145;47,1;2;audi
 T-Roc;24980;Manual;25;Petrol;145;44,1;1,5;vw
 Fiesta;14000;Manual;525;Petrol;145;58,9;1;Ford
 Aygo;10740;Semi-Auto;4568;Petrol;145;56,5;1;toyota
 R8;145000;Semi-Auto;2000;Petrol;145;21,1;5,2;audi
 Up;10990;Manual;10;Petrol;150;51,4;1;vw
 1 Series;26995;Automatic;1500;Diesel;145;51,4;2;BMW
 Octavia;19000;Semi-Auto;10;Petrol;150;46,3;1,5;skoda
 Q5;37444;Semi-Auto;1500;Diesel;145;38,2;2;audi
 A1;20999;Manual;6000;Petrol;150;47,9;1;audi
 Fiesta;12995;Manual;4000;Petrol;145;55,4;1,1;Ford
 Caravelle;45450;Semi-Auto;15;Diesel;145;32,8;2;vw
 I10;13290;Manual;1458;Petrol;150;53,3;1;Hyundai
 Polo;19980;Semi-Auto;500;Petrol;145;46,3;1;vw
 Polo;18490;Manual;10;Petrol;145;51,4;1;vw
 I30;19890;Semi-Auto;2083;Petrol;145;44,1;1,4;Hyundai
 Fiesta;17500;Manual;20;Petrol;145;58,9;1;Ford
 3 Series;39950;Semi-Auto;10;Diesel;145;48,7;2;BMW
 Aygo;10995;Manual;1000;Petrol;145;57,7;1;toyota
 Aygo;10995;Automatic;500;Other;145;56,5;1;toyota
 Q2;24444;Manual;4432;Petrol;145;43,5;1,5;audi
 Touran;26495;Semi-Auto;9999;Diesel;145;47,9;2;vw
 8 Series;56990;Semi-Auto;3242;Petrol;150;33,6;3;BMW
 Fiesta;17499;Manual;34;Petrol;145;58,9;1;Ford
 Q5;49990;Semi-Auto;5000;Diesel;145;34,5;3;audi
 4 Series;30137;Semi-Auto;16;Diesel;150;60,1;2;BMW
 T-Cross;22000;Automatic;1728;Petrol;145;45,6;1;vw
 Golf;25999;Manual;5000;Petrol;145;47,9;1,5;vw
 Golf;21000;Manual;1000;Petrol;150;49,6;1,5;vw
 3 Series;41850;Automatic;111;Petrol;145;34,9;3;BMW
 A5;39454;Semi-Auto;7925;Diesel;145;45,6;2;audi
 A3;29990;Semi-Auto;6000;Petrol;145;41,5;1,5;audi
 T-Cross;21995;Manual;2000;Petrol;150;47,9;1;vw
 Puma;23970;Manual;899;Petrol;150;49,6;1;Ford
 Fiesta;16000;Manual;100;Petrol;145;58,9;1;Ford
 3 Series;26980;Semi-Auto;101;Diesel;145;62,8;2;BMW
 I10;12394;Manual;2;Petrol;145;56,5;1;Hyundai
 3 Series;32890;Semi-Auto;6000;Diesel;145;49,6;2;BMW
 X4;49481;Semi-Auto;101;Diesel;145;37,2;3;BMW
 RS4;71990;Semi-Auto;6000;Petrol;145;29,1;2,9;audi
 Up;10799;Manual;943;Petrol;145;51,4;1;vw
 Arteon;32495;Semi-Auto;3000;Petrol;145;35,8;2;vw
 Up;10995;Manual;2000;Petrol;145;51,4;1;vw
 M4;48950;Semi-Auto;17;Petrol;150;32,5;3;BMW
 Corolla;25990;Automatic;1112;Other;135;53,3;2;toyota
 Karoq;22995;Manual;1079;Petrol;150;42,2;1,5;skoda
 Polo;13685;Manual;1551;Petrol;150;48,7;1;vw
 A3;26490;Manual;240;Diesel;145;52,3;1,6;audi
 3 Series;53260;Semi-Auto;347;Petrol;145;33,6;3;BMW
 Passat;38000;Semi-Auto;2000;Hybrid;135;43,5;1,4;vw
 Q2;23888;Semi-Auto;500;Petrol;145;42,2;1,5;audi
 Tiguan;32989;Manual;6800;Diesel;150;47,9;2;vw
 A1;18990;Manual;4000;Petrol;150;49,6;1;audi
 X5;63995;Automatic;5000;Hybrid;135;188,3;3;BMW
 3 Series;24990;Manual;101;Diesel;150;56,5;2;BMW
 Superb;28999;Semi-Auto;12000;Hybrid;135;188,3;1,4;skoda
 Fiesta;14000;Manual;13;Petrol;150;55,4;1;Ford
 A4;44000;Automatic;4500;Diesel;145;39,2;3;audi
 Q5;37000;Semi-Auto;2000;Diesel;145;38,2;2;audi
 2 Series;19500;Automatic;5746;Petrol;150;42,2;1,5;BMW
 T-Roc;21995;Manual;5120;Diesel;145;50,4;1,6;vw
 Focus;19991;Automatic;4998;Petrol;145;51,4;1;Ford
 Touareg;49990;Semi-Auto;6000;Diesel;145;33,6;3;vw
 3 Series;32980;Semi-Auto;1000;Diesel;145;50,4;2;BMW
 T-Cross;18995;Manual;2500;Petrol;145;47,9;1;vw
 T-Roc;24590;Manual;22462;Diesel;145;50,4;2;vw
 Polo;21490;Semi-Auto;5000;Petrol;145;39,8;2;vw
 2 Series;20980;Semi-Auto;13;Petrol;145;50,4;1,5;BMW
 Scala;17000;Manual;1050;Petrol;145;49,6;1;skoda
 Q2;28990;Semi-Auto;5445;Petrol;150;42,2;1,5;audi
 3 Series;34990;Semi-Auto;4100;Petrol;145;41,5;2;BMW
 T-Roc;25999;Semi-Auto;2000;Petrol;150;39,8;1,5;vw
 Passat;22490;Semi-Auto;20;Diesel;150;49,6;1,6;vw
 Scala;14985;Manual;747;Petrol;145;50,4;1;skoda
 X1;35040;Semi-Auto;562;Diesel;145;60,1;2;BMW
 2 Series;22450;Manual;10;Diesel;145;64,2;2;BMW
 Q3;37888;Semi-Auto;6000;Petrol;145;30,7;2;audi
 2 Series;25450;Semi-Auto;6;Diesel;145;49,6;2;BMW
 Sharan;31391;Semi-Auto;2930;Diesel;145;40,9;2;vw
 2 Series;22990;Semi-Auto;11;Petrol;150;47,9;2;BMW
 T-Roc;22495;Manual;4;Diesel;145;50,4;1,6;vw
 Q5;36888;Semi-Auto;4186;Petrol;145;32,1;2;audi
 A1;22500;Semi-Auto;2000;Petrol;150;44,8;1;audi
 A6;38990;Automatic;5000;Petrol;145;34;2;audi
 1 Series;29980;Semi-Auto;4362;Diesel;145;48,7;2;BMW
 A3;24250;Manual;4500;Diesel;145;52,3;1,6;audi
 T-Cross;22500;Manual;2000;Diesel;145;52,3;1,6;vw
 5 Series;42990;Semi-Auto;2137;Diesel;145;60,1;3;BMW
 Yaris;13490;Manual;1034;Petrol;150;47,9;1,5;toyota
 Z4;30990;Semi-Auto;101;Petrol;145;38,7;2;BMW
 Superb;33990;Semi-Auto;3500;Hybrid;135;188,3;1,4;skoda
 Q2;23000;Manual;2999;Petrol;145;45,6;1;audi
 Up;11989;Manual;2800;Petrol;145;54,3;1;vw
 Kodiaq;30995;Automatic;6550;Diesel;145;44,8;2;skoda
 Polo;19750;Automatic;3345;Petrol;145;46,3;1;vw
 Fiesta;15000;Manual;25;Petrol;145;56,5;1;Ford
 Q3;29944;Automatic;1500;Petrol;145;32,5;0;audi
 Q5;48750;Semi-Auto;4564;Diesel;145;34,5;3;audi
 3 Series;32837;Semi-Auto;1370;Diesel;150;52,3;2;BMW
 Kodiaq;32090;Automatic;6637;Diesel;150;39,2;2;skoda
 Q3;30990;Automatic;1500;Diesel;145;47,1;2;audi
 Kuga;32995;Automatic;11;Hybrid;135;201,8;2,5;Ford
 Arteon;32990;Semi-Auto;5000;Diesel;145;50,4;2;vw
 Superb;31736;Semi-Auto;150;Diesel;145;47,1;2;skoda
 Touareg;46999;Semi-Auto;3703;Diesel;150;34;3;vw
 Q5;49000;Automatic;3500;Diesel;145;34,5;3;audi
 I10;12995;Semi-Auto;510;Petrol;145;52,3;1,2;Hyundai
 Fiesta;15799;Manual;120;Petrol;150;58,9;1;Ford
 Golf;32300;Semi-Auto;3000;Petrol;145;37,7;2;vw
 Tucson;22750;Manual;3500;Petrol;145;34,9;1,6;Hyundai
 Corolla;27893;Automatic;3390;Hybrid;135;72,4;2;toyota
 Passat;33490;Semi-Auto;100;Hybrid;135;43,5;1,4;vw
 Mondeo;20000;Manual;10;Diesel;145;65,7;2;Ford
 Up;10200;Manual;10;Petrol;145;54,3;1;vw
 RS6;102544;Semi-Auto;2000;Petrol;145;22,1;4;audi
 Polo;17490;Manual;100;Petrol;150;50,4;1;vw
 1 Series;21450;Manual;1905;Petrol;145;44,1;1,5;BMW
 Sharan;30790;Semi-Auto;2500;Diesel;145;41,5;2;vw
 T-Cross;20996;Manual;1006;Petrol;145;47,9;1;vw
 A1;18330;Manual;1322;Petrol;145;49,6;1;audi
 Polo;15990;Manual;504;Petrol;150;48,7;1;vw
 6 Series;34490;Semi-Auto;5;Petrol;145;42,8;2;BMW
 Focus;20999;Manual;1501;Diesel;145;80,7;1,5;Ford
 Focus;20000;Manual;25;Petrol;150;51,4;1,5;Ford
 Up;11528;Manual;5000;Petrol;145;54,3;1;vw
 Golf;21750;Manual;4155;Petrol;145;45,6;1,5;vw
 2 Series;26400;Semi-Auto;150;Petrol;145;42,2;1,5;BMW
 Fiesta;18995;Manual;2561;Petrol;145;49,6;1;Ford
 Passat;20998;Semi-Auto;10;Diesel;145;49,6;1,6;vw
 Golf;30999;Automatic;1425;Petrol;145;32,8;2;vw
 Golf;37500;Semi-Auto;3000;Petrol;150;32,8;2;vw
 Yaris;19276;Automatic;3113;Petrol;145;47,9;1,5;toyota
 Scala;17950;Manual;1000;Petrol;145;49,6;1;skoda
 T-Roc;25990;Manual;10;Petrol;145;44,1;1,5;vw
 A4;26880;Automatic;4521;Diesel;145;50,4;2;audi
 Q5;43950;Automatic;7791;Diesel;145;34,5;3;audi
 Superb;29874;Semi-Auto;150;Petrol;145;38,7;2;skoda
 2 Series;26995;Semi-Auto;3500;Petrol;145;50,4;1,5;BMW
 Touareg;47995;Semi-Auto;8000;Diesel;145;33,6;3;vw
 Touran;31500;Manual;2500;Diesel;145;61,4;2;vw
 Puma;22975;Manual;3000;Petrol;145;50,4;1;Ford
 Golf;21399;Semi-Auto;2000;Diesel;145;53,3;2;vw
 A4;30995;Semi-Auto;3000;Petrol;145;42,2;2;audi
 A4;49000;Automatic;38;Diesel;145;39,2;3;audi
 A4;30995;Semi-Auto;1600;Petrol;145;40,9;2;audi
 Scala;17450;Semi-Auto;3000;Petrol;145;47,1;1;skoda
 A1;30950;Semi-Auto;5000;Petrol;145;44,1;1,5;audi
 A1;26450;Semi-Auto;5000;Petrol;145;44,1;1,5;audi
 T-Cross;23500;Automatic;1155;Petrol;145;45,6;1;vw
 Q3;34000;Semi-Auto;4500;Petrol;145;39,2;1,5;audi
 Puma;20590;Manual;3214;Petrol;145;50,4;1;Ford
 T-Cross;18999;Manual;3152;Petrol;145;47,9;1;vw
 3 Series;33285;Semi-Auto;4323;Diesel;145;50,4;2;BMW
 T-Roc;23795;Manual;4000;Petrol;150;42,2;1,5;vw
 X1;28488;Manual;5000;Diesel;145;40,4;2;BMW
 I10;11491;Manual;101;Petrol;145;56,5;1;Hyundai
 2 Series;26988;Automatic;1221;Diesel;145;49,6;2;BMW
 Tiguan;25290;Semi-Auto;10;Petrol;145;37,7;1,5;vw
 T-Cross;22465;Manual;100;Diesel;145;52,3;1,6;vw
 Scala;17995;Semi-Auto;1000;Diesel;145;54,3;1,6;skoda
 X1;36991;Semi-Auto;800;Diesel;145;60,1;2;BMW
 T-Roc;21250;Manual;999;Diesel;145;50,4;2;vw
 Scala;15000;Manual;651;Petrol;150;49,6;1;skoda
 T-Roc;18004;Manual;2512;Petrol;145;44,8;1;vw
 A1;25950;Semi-Auto;2888;Petrol;150;44,8;1,5;audi
 Kodiaq;30000;Automatic;15451;Diesel;150;39,2;2;skoda
 Q2;30900;Semi-Auto;828;Diesel;145;46,3;2;audi
 A1;18500;Manual;500;Petrol;150;49,6;1;audi
 5 Series;26990;Semi-Auto;11;Petrol;145;52,3;2;BMW
 Karoq;17995;Manual;1000;Petrol;145;43,5;1;skoda
 Q3;35995;Automatic;3911;Diesel;145;45,6;2;audi
 Tucson;27999;Semi-Auto;300;Petrol;145;36,2;1,6;Hyundai
 Tiguan;31290;Semi-Auto;2500;Diesel;145;31,4;2;vw
 X4;40995;Automatic;10;Diesel;145;42,8;2;BMW
 Shuttle;28999;Manual;1578;Diesel;145;37,2;2;vw
 I10;12995;Manual;921;Petrol;145;55,4;1,2;Hyundai
 Kamiq;16490;Manual;3942;Petrol;145;49,6;1;skoda
 Mustang;37990;Automatic;2450;Petrol;145;22,1;5;Ford
 T-Cross;20490;Automatic;3600;Petrol;145;45,6;1;vw
 A7;45890;Semi-Auto;2410;Diesel;145;38,7;3;audi
 Fiesta;15499;Semi-Auto;2056;Petrol;145;48,7;1;Ford
 Mondeo;26290;Automatic;7;Hybrid;135;47,1;2;Ford
 Corolla;28815;Automatic;987;Hybrid;140;53,3;2;toyota
 I30;26995;Manual;1000;Petrol;145;34;2;Hyundai
 Polo;17995;Automatic;5000;Other;145;45,6;1;vw
 5 Series;33850;Semi-Auto;103;Hybrid;150;44,8;2;BMW
 Q3;33591;Semi-Auto;4455;Petrol;150;39,2;1,5;audi
 Q3;33444;Semi-Auto;475;Petrol;145;31,4;2;audi
 Kodiaq;35999;Automatic;1000;Diesel;150;39,2;2;skoda
 Q5;36995;Semi-Auto;2000;Petrol;145;32,1;2;audi
 X1;21999;Manual;18;Petrol;145;51,4;1,5;BMW
 A4;32000;Semi-Auto;3000;Petrol;150;39,2;2;audi
 Aygo;10295;Manual;1310;Petrol;150;57,7;1;toyota
 Karoq;21495;Automatic;508;Petrol;150;41,5;1,5;skoda
 I10;14000;Manual;2458;Petrol;145;53,3;1;Hyundai
 Golf;23999;Semi-Auto;1000;Petrol;145;45,6;1,5;vw
 Up;10000;Manual;1000;Petrol;145;54,3;1;vw
 A1;25895;Automatic;1500;Petrol;145;44,1;1;audi
 Golf;21998;Manual;15;Petrol;150;47,9;1,5;vw
 Touareg;42999;Semi-Auto;9737;Diesel;145;34,5;3;vw
 Kodiaq;31000;Automatic;5790;Diesel;145;39,2;2;skoda
 Q3;27911;Manual;1912;Petrol;145;40,9;1,5;audi
 Up;10000;Manual;10;Petrol;145;54,3;1;vw
 1 Series;27495;Semi-Auto;1500;Diesel;145;51,4;2;BMW
 3 Series;34985;Semi-Auto;1987;Diesel;150;53,3;2;BMW
 Q7;53900;Semi-Auto;4000;Diesel;145;33,2;3;audi
 Fiesta;18200;Manual;50;Petrol;145;55,4;1;Ford
